,t-24,t-23,t-22,t-21,t-20,t-19,t-18,t-17,t-16,t-15,t-14,t-13,t-12,t-11,t-10,t-9,t-8,t-7,t-6,t-5,t-4,t-3,t-2,t-1,t-0
74,0.12363219,0.1325381,0.15790242,0.1892882,0.10375571,0.045037754,0.05412898,0.059118375,0.05876008,0.06430617,0.066573046,0.11089347,0.10455446,0.077182956,0.12285932,0.06841966,0.06027298,0.05105151,0.062930584,0.05846268,0.06085745,0.060371444,0.06652398,0.05820025,0.17400604
75,0.1325381,0.15790242,0.1892882,0.10375571,0.045037754,0.05412898,0.059118375,0.05876008,0.06430617,0.066573046,0.11089347,0.10455446,0.077182956,0.12285932,0.06841966,0.06027298,0.05105151,0.062930584,0.05846268,0.06085745,0.060371444,0.06652398,0.05820025,0.17400604,0.13002445
76,0.15790242,0.1892882,0.10375571,0.045037754,0.05412898,0.059118375,0.05876008,0.06430617,0.066573046,0.11089347,0.10455446,0.077182956,0.12285932,0.06841966,0.06027298,0.05105151,0.062930584,0.05846268,0.06085745,0.060371444,0.06652398,0.05820025,0.17400604,0.13002445,0.15152875
77,0.1892882,0.10375571,0.045037754,0.05412898,0.059118375,0.05876008,0.06430617,0.066573046,0.11089347,0.10455446,0.077182956,0.12285932,0.06841966,0.06027298,0.05105151,0.062930584,0.05846268,0.06085745,0.060371444,0.06652398,0.05820025,0.17400604,0.13002445,0.15152875,0.14774938
78,0.10375571,0.045037754,0.05412898,0.059118375,0.05876008,0.06430617,0.066573046,0.11089347,0.10455446,0.077182956,0.12285932,0.06841966,0.06027298,0.05105151,0.062930584,0.05846268,0.06085745,0.060371444,0.06652398,0.05820025,0.17400604,0.13002445,0.15152875,0.14774938,0.09830453
79,0.045037754,0.05412898,0.059118375,0.05876008,0.06430617,0.066573046,0.11089347,0.10455446,0.077182956,0.12285932,0.06841966,0.06027298,0.05105151,0.062930584,0.05846268,0.06085745,0.060371444,0.06652398,0.05820025,0.17400604,0.13002445,0.15152875,0.14774938,0.09830453,0.060727198
80,0.05412898,0.059118375,0.05876008,0.06430617,0.066573046,0.11089347,0.10455446,0.077182956,0.12285932,0.06841966,0.06027298,0.05105151,0.062930584,0.05846268,0.06085745,0.060371444,0.06652398,0.05820025,0.17400604,0.13002445,0.15152875,0.14774938,0.09830453,0.060727198,0.05565127
81,0.059118375,0.05876008,0.06430617,0.066573046,0.11089347,0.10455446,0.077182956,0.12285932,0.06841966,0.06027298,0.05105151,0.062930584,0.05846268,0.06085745,0.060371444,0.06652398,0.05820025,0.17400604,0.13002445,0.15152875,0.14774938,0.09830453,0.060727198,0.05565127,0.059932202
82,0.05876008,0.06430617,0.066573046,0.11089347,0.10455446,0.077182956,0.12285932,0.06841966,0.06027298,0.05105151,0.062930584,0.05846268,0.06085745,0.060371444,0.06652398,0.05820025,0.17400604,0.13002445,0.15152875,0.14774938,0.09830453,0.060727198,0.05565127,0.059932202,0.059813168
83,0.06430617,0.066573046,0.11089347,0.10455446,0.077182956,0.12285932,0.06841966,0.06027298,0.05105151,0.062930584,0.05846268,0.06085745,0.060371444,0.06652398,0.05820025,0.17400604,0.13002445,0.15152875,0.14774938,0.09830453,0.060727198,0.05565127,0.059932202,0.059813168,0.07260035
84,0.066573046,0.11089347,0.10455446,0.077182956,0.12285932,0.06841966,0.06027298,0.05105151,0.062930584,0.05846268,0.06085745,0.060371444,0.06652398,0.05820025,0.17400604,0.13002445,0.15152875,0.14774938,0.09830453,0.060727198,0.05565127,0.059932202,0.059813168,0.07260035,0.06703452
85,0.11089347,0.10455446,0.077182956,0.12285932,0.06841966,0.06027298,0.05105151,0.062930584,0.05846268,0.06085745,0.060371444,0.06652398,0.05820025,0.17400604,0.13002445,0.15152875,0.14774938,0.09830453,0.060727198,0.05565127,0.059932202,0.059813168,0.07260035,0.06703452,0.06872202
86,0.10455446,0.077182956,0.12285932,0.06841966,0.06027298,0.05105151,0.062930584,0.05846268,0.06085745,0.060371444,0.06652398,0.05820025,0.17400604,0.13002445,0.15152875,0.14774938,0.09830453,0.060727198,0.05565127,0.059932202,0.059813168,0.07260035,0.06703452,0.06872202,0.05952067
87,0.077182956,0.12285932,0.06841966,0.06027298,0.05105151,0.062930584,0.05846268,0.06085745,0.060371444,0.06652398,0.05820025,0.17400604,0.13002445,0.15152875,0.14774938,0.09830453,0.060727198,0.05565127,0.059932202,0.059813168,0.07260035,0.06703452,0.06872202,0.05952067,0.14101318
88,0.12285932,0.06841966,0.06027298,0.05105151,0.062930584,0.05846268,0.06085745,0.060371444,0.06652398,0.05820025,0.17400604,0.13002445,0.15152875,0.14774938,0.09830453,0.060727198,0.05565127,0.059932202,0.059813168,0.07260035,0.06703452,0.06872202,0.05952067,0.14101318,0.08408144
