Units, ,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF
Type, ,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER
299,31 Aug 1945, 24:00, , ,14.343, , , , , , , 
300,30 Sep 1945, 24:00, , ,8.756, , , , , , , 
301,31 Oct 1945, 24:00, , ,12.902, , , , , , , 
302,30 Nov 1945, 24:00, , ,11.634, , , , , , , 
303,31 Dec 1945, 24:00, , ,6.553, , , , , , , 
304,31 Jan 1946, 24:00, , ,10.133, , , , , , , 
305,28 Feb 1946, 24:00, , ,14.840, , , , , , , 
306,31 Mar 1946, 24:00, , ,15.874, , , , , , , 
307,30 Apr 1946, 24:00, , ,15.347, , , , , , , 
308,31 May 1946, 24:00, , ,15.824, , , , , , , 
309,30 Jun 1946, 24:00, , ,15.144, , , , , , , 
310,31 Jul 1946, 24:00, , ,14.667, , , , , , , 
311,31 Aug 1946, 24:00, , ,15.398, , , , , , , 
312,30 Sep 1946, 24:00, , ,12.121, , , , , , , 
313,31 Oct 1946, 24:00, , ,13.462, , , , , , , 
314,30 Nov 1946, 24:00, , ,4.905, , , , , , , 
315,31 Dec 1946, 24:00, , ,8.286, , , , , , , 
316,31 Jan 1947, 24:00, , ,10.754, , , , , , , 
317,28 Feb 1947, 24:00, , ,10.573, , , , , , , 
318,31 Mar 1947, 24:00, , ,14.104, , , , , , , 
319,30 Apr 1947, 24:00, , ,5.979, , , , , , , 
320,31 May 1947, 24:00, , ,14.265, , , , , , , 
321,30 Jun 1947, 24:00, , ,13.623, , , , , , , 
322,31 Jul 1947, 24:00, , ,14.185, , , , , , , 
323,31 Aug 1947, 24:00, , ,13.994, , , , , , , 
324,30 Sep 1947, 24:00, , ,13.452, , , , , , , 
325,31 Oct 1947, 24:00, , ,5.395, , , , , , , 
326,30 Nov 1947, 24:00, , ,7.318, , , , , , , 
327,31 Dec 1947, 24:00, , ,12.318, , , , , , , 
328,31 Jan 1948, 24:00, , ,15.297, , , , , , , 
329,29 Feb 1948, 24:00, , ,14.488, , , , , , , 
330,31 Mar 1948, 24:00, , ,15.237, , , , , , , 
331,30 Apr 1948, 24:00, , ,14.587, , , , , , , 
332,31 May 1948, 24:00, , ,15.435, , , , , , , 
333,30 Jun 1948, 24:00, , ,14.419, , , , , , , 
334,31 Jul 1948, 24:00, , ,15.011, , , , , , , 
335,31 Aug 1948, 24:00, , ,14.892, , , , , , , 
336,30 Sep 1948, 24:00, , ,9.271, , , , , , , 
337,31 Oct 1948, 24:00, , ,15.113, , , , , , , 
338,30 Nov 1948, 24:00, , ,14.808, , , , , , , 
339,31 Dec 1948, 24:00, , ,15.368, , , , , , , 
340,31 Jan 1949, 24:00, , ,4.447, , , , , , , 
341,28 Feb 1949, 24:00, , ,10.218, , , , , , , 
342,31 Mar 1949, 24:00, , ,14.635, , , , , , , 
343,30 Apr 1949, 24:00, , ,15.195, , , , , , , 
344,31 May 1949, 24:00, , ,10.126, , , , , , , 
345,30 Jun 1949, 24:00, , ,4.407, , , , , , , 
346,31 Jul 1949, 24:00, , ,8.600, , , , , , , 
347,31 Aug 1949, 24:00, , ,13.994, , , , , , , 
348,30 Sep 1949, 24:00, , ,6.737, , , , , , , 
349,31 Oct 1949, 24:00, , ,5.412, , , , , , , 
350,30 Nov 1949, 24:00, , ,7.341, , , , , , , 
351,31 Dec 1949, 24:00, , ,12.357, , , , , , , 
352,31 Jan 1950, 24:00, , , ,15.344, , , , , , 
353,28 Feb 1950, 24:00, , , ,14.533, , , , , , 
354,31 Mar 1950, 24:00, , , ,15.285, , , , , , 
355,30 Apr 1950, 24:00, , , ,14.632, , , , , , 
356,31 May 1950, 24:00, , , ,15.483, , , , , , 
357,30 Jun 1950, 24:00, , , ,14.464, , , , , , 
358,31 Jul 1950, 24:00, , , ,15.058, , , , , , 
359,31 Aug 1950, 24:00, , , ,14.939, , , , , , 
360,30 Sep 1950, 24:00, , , ,9.300, , , , , , 
361,31 Oct 1950, 24:00, , , ,0.330, , , , , , 
362,30 Nov 1950, 24:00, , , ,0.210, , , , , , 
363,31 Dec 1950, 24:00, , , ,5.224, , , , , , 
364,31 Jan 1951, 24:00, , , ,13.216, , , , , , 
365,28 Feb 1951, 24:00, , , ,5.504, , , , , , 
366,31 Mar 1951, 24:00, , , ,0.000, , , , , , 
367,30 Apr 1951, 24:00, , , ,2.358, , , , , , 
368,31 May 1951, 24:00, , , ,9.979, , , , , , 
369,30 Jun 1951, 24:00, , , ,7.962, , , , , , 
370,31 Jul 1951, 24:00, , , ,8.701, , , , , , 
371,31 Aug 1951, 24:00, , , ,8.161, , , , , , 
372,30 Sep 1951, 24:00, , , ,7.582, , , , , , 
373,31 Oct 1951, 24:00, , , ,6.869, , , , , , 
374,30 Nov 1951, 24:00, , , ,10.984, , , , , , 
375,31 Dec 1951, 24:00, , , ,16.018, , , , , , 
376,31 Jan 1952, 24:00, , , ,15.945, , , , , , 
377,29 Feb 1952, 24:00, , , ,14.636, , , , , , 
378,31 Mar 1952, 24:00, , , ,15.935, , , , , , 
379,30 Apr 1952, 24:00, , , ,15.646, , , , , , 
380,31 May 1952, 24:00, , , ,15.729, , , , , , 
381,30 Jun 1952, 24:00, , , ,14.862, , , , , , 
382,31 Jul 1952, 24:00, , , ,15.203, , , , , , 
383,31 Aug 1952, 24:00, , , ,14.976, , , , , , 
384,30 Sep 1952, 24:00, , , ,5.869, , , , , , 
385,31 Oct 1952, 24:00, , , ,9.542, , , , , , 
386,30 Nov 1952, 24:00, , , ,15.320, , , , , , 
387,31 Dec 1952, 24:00, , , ,15.553, , , , , , 
388,31 Jan 1953, 24:00, , , ,15.806, , , , , , 
389,28 Feb 1953, 24:00, , , ,13.883, , , , , , 
390,31 Mar 1953, 24:00, , , ,15.796, , , , , , 
391,30 Apr 1953, 24:00, , , ,14.855, , , , , , 
392,31 May 1953, 24:00, , , ,15.816, , , , , , 
393,30 Jun 1953, 24:00, , , ,14.905, , , , , , 
394,31 Jul 1953, 24:00, , , ,15.290, , , , , , 
395,31 Aug 1953, 24:00, , , ,15.391, , , , , , 
396,30 Sep 1953, 24:00, , , ,9.522, , , , , , 
397,31 Oct 1953, 24:00, , , ,12.762, , , , , , 
398,30 Nov 1953, 24:00, , , ,11.508, , , , , , 
399,31 Dec 1953, 24:00, , , ,6.481, , , , , , 
400,31 Jan 1954, 24:00, , , ,10.023, , , , , , 
